,Weight
DIS,0.0022500000000000003
PWR,0.0022500000000000003
PANW,0.0022500000000000003
RIVN,0.0022500000000000003
HSY,0.0022500000000000003
MCK,0.0022500000000000003
VST,0.0022500000000000003
COH.AX,0.0022500000000000003
PHM,0.0022500000000000003
UHS,0.0022500000000000003
BYDDY,0.0022500000000000003
INVH,0.0022500000000000003
CHEOY,0.0022500000000000003
TSM,0.009000000000000001
ADBE,0.0022500000000000003
HIG,0.0022500000000000003
ARMK,0.0022500000000000003a
300750.SZ,0.0405
UMG.AS,0.0022500000000000003
FIS,0.0022500000000000003
RMD,0.0022500000000000003
ORCL,0.0022500000000000003
ROP,0.0022500000000000003
NVDA,0.009000000000000001
TDY,0.0022500000000000003
FSLR,0.009000000000000001
LI,0.0022500000000000003
MA,0.0022500000000000003
BSX,0.0022500000000000003
TXRH,0.0022500000000000003
ATI,0.0022500000000000003
THC,0.0022500000000000003
NFLX,0.0022500000000000003
BE,0.0022500000000000003
TM,0.0022500000000000003
PLTR,0.0405
GOOGL,0.009000000000000001
BEP,0.0022500000000000003
SO,0.0022500000000000003
TSLA,0.0405
WAB,0.0022500000000000003
WBD,0.0022500000000000003
GM,0.0022500000000000003
FI,0.0022500000000000003
MSFT,0.009000000000000001
SYK,0.0022500000000000003
LYV,0.0022500000000000003
AMZN,0.009000000000000001
ULTA,0.0022500000000000003
VRTX,0.0022500000000000003
NEE,0.0022500000000000003
CAT,0.0022500000000000003
RJF,0.0022500000000000003
ALC,0.0022500000000000003
EXAS,0.0022500000000000003
ALB,0.009000000000000001
EIX,0.0022500000000000003
SONY,0.0022500000000000003
CRM,0.0022500000000000003
OR.PA,0.0022500000000000003
MRK,0.0022500000000000003
FLUT,0.0022500000000000003
CTAS,0.0022500000000000003
ZBH,0.0022500000000000003
APTV,0.0022500000000000003
JPM,0.0022500000000000003
AVGO,0.02025
HWM,0.0022500000000000003
AZN,0.009000000000000001
WCC,0.0022500000000000003
CRS,0.0022500000000000003
ERIE,0.0022500000000000003
HAL,0.0022500000000000003
ETN,0.009000000000000001
VYM,0.009000000000000001
AAPL,0.009000000000000001
JNJ,0.009000000000000001
OKLO,0.009000000000000001
BURL,0.009000000000000001
AMD,0.009000000000000001
PFE,0.009000000000000001
DOV,0.009000000000000001
T,0.009000000000000001
F,0.009000000000000001
WRBY,0.0027500000000000003
RICOY,0.0027500000000000003
GATX,0.0027500000000000003
IDCC,0.04125
LMND,0.0027500000000000003
VITL,0.0027500000000000003
COCO,0.0495
DORM,0.0495
EKSO,0.0027500000000000003
WSFS,0.0027500000000000003
MSA,0.0495
FOUR,0.0495
ENS,0.0027500000000000003
DGICA,0.0027500000000000003
AXTA,0.0027500000000000003
NSANY,0.0027500000000000003
PLNT,0.0495
AAL,0.0027500000000000003
RSI,0.0027500000000000003
COUR,0.0027500000000000003
CUBE,0.0027500000000000003
IBAB.BR,0.0027500000000000003
CHPT,0.0027500000000000003
OLLI,0.0495
MGM,0.0027500000000000003
DUOL,0.0495
AWI,0.0027500000000000003
SMR,0.0495
URBN,0.0495
UVSP,0.011000000000000001
